Rank-digger,Player-Name,Team,Successful-dig,Errors-dig,Receptions-dig,average-per-match-dig,Success-percent-dig,Total-dig
1,Örge,TUR,89,35,26,14.83,59.33,150
2,Nyeme,BRA,87,34,11,14.50,65.91,132
3,Wong-Orantes,USA,77,32,17,12.83,61.11,126
4,De Gennaro,ITA,64,27,14,10.67,60.95,105
5,Castillo,DOM,55,14,13,13.75,67.07,82
6,Wang M.J.,CHN,54,19,16,13.50,60.67,89
7,Gabi,BRA,52,16,13,8.67,64.20,81
8,Orro,ITA,48,19,11,8.00,61.54,78
9,Vargas,TUR,46,18,13,7.67,59.74,77
10,Drews,USA,45,16,13,7.50,60.81,74
11,Ana Cristina,BRA,44,16,8,7.33,64.71,68
11,Poulter,USA,44,16,9,7.33,63.77,69
12,Reesink,NED,43,22,4,14.33,62.32,69
12,Gong X.Y.,CHN,43,25,14,10.75,52.44,82
13,Roberta,BRA,42,13,5,7.00,70.00,60
14,Sylla,ITA,40,25,9,6.67,54.05,74
15,A. Skinner,USA,39,16,6,6.50,63.93,61
16,Baladın,TUR,38,24,15,6.33,49.35,77
16,Giardino,FRA,38,19,3,12.67,63.33,60
17,Rosamaria,BRA,35,10,12,5.83,61.40,57
18,Bosetti,ITA,34,8,7,5.67,69.39,49
19,Szczygłowska,POL,33,14,8,8.25,60.00,55
19,E. Şahin,TUR,33,19,10,5.50,53.23,62
20,Popović S.,SRB,30,18,10,7.50,51.72,58
21,Martinez,DOM,28,12,8,7.00,58.33,48
21,Li Y.Y.,CHN,28,19,7,7.00,51.85,54
22,Daalderop,NED,27,6,5,9.00,71.05,38
23,Peña Isabel,DOM,26,16,10,6.50,50.00,52
23,Bošković,SRB,26,9,9,6.50,59.09,44
24,Diao L.Y.,CHN,25,28,15,6.25,36.76,68
25,Marte,DOM,24,12,9,6.00,53.33,45
25,Plak,NED,24,14,3,8.00,58.54,41
25,Diken,TUR,24,9,13,4.00,52.17,46
25,Zhu T.,CHN,24,4,7,6.00,68.57,35
25,Plummer,USA,24,10,5,4.00,61.54,39
26,Egonu,ITA,23,10,7,3.83,57.50,40
27,Erdem,TUR,21,8,3,3.50,65.62,32
27,Cazaute,FRA,21,14,2,7.00,56.76,37
28,Łukasik,POL,19,10,7,4.75,52.78,36
28,Ishikawa,JPN,19,5,5,6.33,65.52,29
28,Cook,USA,19,1,6,3.17,73.08,26
29,Wołosz,POL,18,13,5,4.50,50.00,36
30,Koga,JPN,17,10,7,5.67,50.00,34
30,Wang Y.Y.,CHN,17,7,2,4.25,65.38,26
30,Buša,SRB,17,11,6,4.25,50.00,34
31,Gaila,DOM,16,5,13,4.00,47.06,34
31,Stysiak,POL,16,4,4,4.00,66.67,24
31,Kojima,JPN,16,3,5,5.33,66.67,24
32,Knollema,NED,15,13,3,5.00,48.39,31
32,Kundu,KEN,15,19,4,5.00,39.47,38
33,Thaisa,BRA,14,4,4,2.33,63.64,22
33,Stojiljkovic,FRA,14,12,4,4.67,46.67,30
34,Mędrzyk,POL,13,7,5,3.25,52.00,25
34,Hayashi,JPN,13,7,5,4.33,52.00,25
34,Carlini,USA,13,3,2,3.25,72.22,18
34,Larson,USA,13,8,2,2.17,56.52,23
34,Yuan X.Y.,CHN,13,4,4,3.25,61.90,21
34,Lazović,SRB,13,5,3,3.25,61.90,21
35,Danesi,ITA,12,6,3,2.00,57.14,21
35,Fukudome,JPN,12,7,6,4.00,48.00,25
35,Karakurt,TUR,12,8,5,2.00,48.00,25
35,Bongaerts,NED,12,9,7,4.00,42.86,28
35,Thompson,USA,12,7,4,2.00,52.17,23
35,Ognjenović,SRB,12,7,9,3.00,42.86,28
36,Cambi,ITA,11,2,0,1.83,84.62,13
36,Tapia,DOM,11,1,1,2.75,84.62,13
36,Czyrniańska,POL,11,7,2,2.75,55.00,20
36,Baijens,NED,11,3,1,3.67,73.33,15
36,Washington,USA,11,5,5,1.83,52.38,21
36,Gicquel,FRA,11,8,4,3.67,47.83,23
36,Uzelac,SRB,11,5,8,2.75,45.83,24
37,Giovannini,ITA,10,4,4,2.00,55.56,18
37,Jurczyk,POL,10,2,1,2.50,76.92,13
37,Yamada,JPN,10,1,2,3.33,76.92,13
37,Adhiambo,KEN,10,11,7,3.33,35.71,28
37,Ogbogu,USA,10,7,3,1.67,50.00,20
38,De La Cruz,DOM,9,7,5,2.25,42.86,21
38,Iwasaki,JPN,9,5,5,3.00,47.37,19
38,Alagierska,POL,9,1,3,3.00,69.23,13
38,Cebecioğlu,TUR,9,9,0,1.50,50.00,18
38,Carol,BRA,9,2,4,1.50,60.00,15
38,Mutinda,KEN,9,11,6,3.00,34.62,26
38,Güneş,TUR,9,9,8,2.25,34.62,26
39,Özbay,TUR,8,6,7,1.60,38.10,21
39,Van Aalen,NED,8,0,1,2.67,88.89,9
