Rank-blocker,Player-Name,Team,Succesful-blocks,Errors-block,Rebounds-block,average-per-match-block,Efficiency-percent-block,Total-block
1,Carol,BRA,23,28,44,3.83,-5.26,95
2,Ogbogu,USA,21,28,42,3.50,-7.69,91
3,Danesi,ITA,20,19,36,3.33,1.33,75
3,Thaisa,BRA,20,22,38,3.33,-2.50,80
4,Korneluk,POL,19,27,30,4.75,-10.53,76
5,Erdem,TUR,14,30,46,2.33,-17.78,90
6,Washington,USA,13,30,46,2.17,-19.10,89
6,Wang Y.Y.,CHN,13,19,35,3.25,-8.96,67
6,Aleksić,SRB,13,7,24,3.25,13.64,44
7,Jineiry,DOM,12,15,29,3.00,-5.36,56
7,Yuan X.Y.,CHN,12,18,24,3.00,-11.11,54
8,Gabi,BRA,11,10,22,1.83,2.33,43
8,Güneş,TUR,11,17,31,2.75,-10.17,59
9,Arias,DOM,10,21,27,2.50,-18.97,58
10,Ana Cristina,BRA,9,15,14,1.50,-15.79,38
10,Plummer,USA,9,14,15,1.50,-13.16,38
11,Egonu,ITA,8,6,14,1.33,7.14,28
11,Vargas,TUR,8,16,19,1.33,-18.60,43
12,Lohuis,NED,7,10,22,2.33,-7.69,39
12,Baijens,NED,7,13,28,2.33,-12.50,48
12,Rosamaria,BRA,7,11,23,1.17,-9.76,41
13,Orro,ITA,6,7,21,1.00,-2.94,34
13,Bosetti,ITA,6,18,14,1.00,-31.58,38
13,Fahr,ITA,6,37,45,1.00,-35.23,88
13,Stysiak,POL,6,16,9,1.50,-32.26,31
13,Poulter,USA,6,12,12,1.00,-20.00,30
13,Li Y.Y.,CHN,6,11,12,1.50,-17.24,29
13,Zhu T.,CHN,6,10,6,1.50,-18.18,22
13,Sylves,FRA,6,6,16,2.00,0.00,28
13,Kurtagić,SRB,6,5,4,3.00,6.67,15
14,Antropova,ITA,5,7,4,0.83,-12.50,16
14,Łukasik,POL,5,5,8,1.25,0.00,18
14,Yamada,JPN,5,12,14,1.67,-22.58,31
14,E. Şahin,TUR,5,15,19,0.83,-25.64,39
14,Kalaç,TUR,5,11,11,2.50,-22.22,27
14,Baladın,TUR,5,13,11,0.83,-27.59,29
14,Drews,USA,5,23,24,0.83,-34.62,52
14,A. Skinner,USA,5,13,18,0.83,-22.22,36
14,Gong X.Y.,CHN,5,11,16,1.25,-18.75,32
14,Gicquel,FRA,5,9,7,1.67,-19.05,21
14,Bošković,SRB,5,6,14,1.25,-4.00,25
15,Smarzek,POL,4,4,1,1.00,0.00,9
15,Plak,NED,4,3,14,1.33,4.76,21
15,Belinda,KEN,4,5,7,1.33,-6.25,16
15,Diao L.Y.,CHN,4,15,25,1.00,-25.00,44
15,Uzelac,SRB,4,5,3,1.00,-8.33,12
16,Sylla,ITA,3,5,7,0.50,-13.33,15
16,Mędrzyk,POL,3,7,6,0.75,-25.00,16
16,Koga,JPN,3,2,10,1.00,6.67,15
16,Diken,TUR,3,8,11,0.50,-22.73,22
16,Tainara,BRA,3,3,3,0.50,0.00,9
16,Diana,BRA,3,0,1,3.00,75.00,4
16,Thompson,USA,3,11,15,0.50,-27.59,29
16,Rotar,FRA,3,0,3,1.50,50.00,6
16,Buša,SRB,3,3,5,0.75,0.00,11
16,Stevanović,SRB,3,12,6,1.00,-42.86,21
17,Martinez,DOM,2,3,5,0.50,-10.00,10
17,Gaila,DOM,2,5,7,0.50,-21.43,14
17,Peña Isabel,DOM,2,8,15,0.50,-24.00,25
17,Tapia,DOM,2,2,6,0.50,0.00,10
17,Jurczyk,POL,2,14,13,0.50,-41.38,29
17,Wołosz,POL,2,12,8,0.50,-45.45,22
17,Airi,JPN,2,11,8,0.67,-42.86,21
17,Czyrniańska,POL,2,4,2,0.50,-25.00,8
17,Alagierska,POL,2,5,12,0.67,-15.79,19
17,Knollema,NED,2,8,10,0.67,-30.00,20
17,Bongaerts,NED,2,6,8,0.67,-25.00,16
17,Daalderop,NED,2,14,14,0.67,-40.00,30
17,Dambrink,NED,2,5,2,0.67,-33.33,9
17,Roberta,BRA,2,16,15,0.33,-42.42,33
17,Pamella,KEN,2,3,8,0.67,-7.69,13
17,Adhiambo,KEN,2,5,7,0.67,-21.43,14
17,Larson,USA,2,3,3,0.33,-12.50,8
17,Bauer,FRA,2,5,5,1.00,-25.00,12
17,Lazović,SRB,2,5,5,0.50,-25.00,12
17,Olinga Andela,FRA,2,5,7,1.00,-21.43,14
17,Popović M.,SRB,2,8,11,1.00,-28.57,21
18,Marte,DOM,1,9,10,0.25,-40.00,20
18,De La Cruz,DOM,1,2,3,0.25,-16.67,6
18,Gonzalez,DOM,1,0,2,0.50,33.33,3
18,Araki,JPN,1,9,15,0.33,-32.00,25
18,Hayashi,JPN,1,2,2,0.33,-20.00,5
18,Özbay,TUR,1,3,6,0.20,-20.00,10
18,Karakurt,TUR,1,3,11,0.17,-13.33,15
18,M. Jasper,NED,1,7,2,0.33,-60.00,10
18,Cebecioğlu,TUR,1,4,8,0.17,-23.08,13
18,Buijs,NED,1,0,0,0.50,100.00,1
18,Macris,BRA,1,1,2,0.17,0.00,4
18,Juliana,KEN,1,0,5,0.33,16.67,6
18,Simiyu,KEN,1,1,1,0.50,0.00,3
18,Cook,USA,1,3,3,0.17,-28.57,7
18,Gao Y.,CHN,1,0,0,1.00,100.00,1
18,Zheng Y.X.,CHN,1,0,1,1.00,50.00,2
18,Bah,FRA,1,2,6,0.33,-11.11,9
18,Ndiaye,FRA,1,1,0,0.33,0.00,2
18,Lozo,SRB,1,2,0,0.25,-33.33,3
19,Cambi,ITA,0,0,0,,,0
19,De Gennaro,ITA,0,0,0,,,0
19,Ariana,DOM,0,0,0,,,0
19,Castillo,DOM,0,0,1,0.00,0.00,1
19,Guillen,DOM,0,1,2,0.00,-33.33,3
19,Lubian,ITA,0,1,1,0.00,-50.00,2
19,Giovannini,ITA,0,2,4,0.00,-33.33,6
19,Omoruyi,ITA,0,0,0,,,0
19,Szczygłowska,POL,0,0,1,0.00,0.00,1
19,Iwasaki,JPN,0,4,6,0.00,-40.00,10
19,Kojima,JPN,0,0,0,,,0
19,Fukudome,JPN,0,0,0,,,0
19,Ishikawa,JPN,0,3,5,0.00,-37.50,8
19,Wenerska,POL,0,1,1,0.00,-50.00,2
19,Wada,JPN,0,2,4,0.00,-33.33,6
19,Seki,JPN,0,1,5,0.00,-16.67,6
19,Inoue,JPN,0,2,2,0.00,-50.00,4
19,Stenzel,POL,0,0,0,,,0
19,Örge,TUR,0,0,0,,,0
19,Aydın,TUR,0,3,3,0.00,-50.00,6
19,Van Aalen,NED,0,2,5,0.00,-28.57,7
19,Reesink,NED,0,1,0,0.00,-100.00,1
19,Timmerman,NED,0,1,3,0.00,-25.00,4
19,Arıcı,TUR,0,0,0,,,0
19,Nyeme,BRA,0,0,1,0.00,0.00,1
19,Kundu,KEN,0,0,0,,,0
19,Trizah,KEN,0,7,8,0.00,-46.67,15
19,Kasaya,KEN,0,5,3,0.00,-62.50,8
19,Mutinda,KEN,0,5,5,0.00,-50.00,10
19,Lorine,KEN,0,0,0,,,0
19,Bergmann,BRA,0,2,3,0.00,-40.00,5
19,Emma,KEN,0,1,2,0.00,-33.33,3
19,Wisah,KEN,0,4,2,0.00,-66.67,6
19,Lorenne,BRA,0,0,0,,,0
19,Carlini,USA,0,0,0,,,0
19,Wong-Orantes,USA,0,0,0,,,0
19,Wang M.J.,CHN,0,0,0,,,0
19,Ding X.,CHN,0,0,0,,,0
19,Wu M.J.,CHN,0,2,2,0.00,-50.00,4
19,Rettke,USA,0,0,0,,,0
19,Zhang C.N.,CHN,0,0,0,,,0
19,Cazaute,FRA,0,1,3,0.00,-25.00,4
19,Gelin,FRA,0,0,0,,,0
19,Giardino,FRA,0,0,0,,,0
19,Stojiljkovic,FRA,0,2,8,0.00,-20.00,10
19,Ognjenović,SRB,0,7,10,0.00,-41.18,17
19,Popović S.,SRB,0,0,0,,,0
19,Drča,SRB,0,7,1,0.00,-87.50,8
19,Milenković,SRB,0,0,1,0.00,0.00,1
19,Respaut,FRA,0,0,1,0.00,0.00,1
19,Hancock,USA,0,0,2,0.00,0.00,2
19,Spirito,ITA,0,0,0,,,0
19,Natinha,BRA,0,0,0,,,0
