Rank-setter,Player-Name,Team,Successful-setter,Errors-setter,Attempts-setter,average-per-match-setter,Success-percent-setter,Total-setter
1,Poulter,USA,162,2,340,27.00,32.14,504
2,Diao L.Y.,CHN,149,4,256,37.25,36.43,409
3,E. Şahin,TUR,139,7,331,23.17,29.14,477
4,Roberta,BRA,123,4,305,20.50,28.47,432
5,Orro,ITA,105,0,299,17.50,25.99,404
6,Wołosz,POL,96,1,182,24.00,34.41,279
6,Ognjenović,SRB,96,1,169,24.00,36.09,266
7,Bongaerts,NED,86,1,125,28.67,40.57,212
8,Marte,DOM,81,1,268,20.25,23.14,350
9,Iwasaki,JPN,65,0,101,21.67,39.16,166
10,Van Aalen,NED,49,1,81,16.33,37.40,131
10,Stojiljkovic,FRA,49,1,176,16.33,21.68,226
11,Özbay,TUR,45,1,90,9.00,33.09,136
12,Seki,JPN,38,1,64,12.67,36.89,103
13,Macris,BRA,37,2,64,6.17,35.92,103
14,Mutinda,KEN,31,3,129,10.33,19.02,163
14,Drča,SRB,31,0,73,7.75,29.81,104
15,Wenerska,POL,18,0,44,4.50,29.03,62
16,Hancock,USA,17,0,23,8.50,42.50,40
17,Carlini,USA,15,1,48,3.75,23.44,64
18,Cambi,ITA,12,2,43,2.00,21.05,57
19,Respaut,FRA,8,0,15,4.00,34.78,23
20,Nyeme,BRA,5,2,57,0.83,7.81,64
21,De Gennaro,ITA,2,1,76,0.33,2.53,79
21,Castillo,DOM,2,0,78,0.50,2.50,80
21,Arias,DOM,2,0,9,0.50,18.18,11
21,Szczygłowska,POL,2,0,33,0.50,5.71,35
21,Emma,KEN,2,0,31,0.67,6.06,33
21,Gong X.Y.,CHN,2,1,21,0.50,8.33,24
22,Ariana,DOM,1,0,17,0.25,5.56,18
22,Giovannini,ITA,1,0,2,0.20,33.33,3
22,Ishikawa,JPN,1,0,7,0.33,12.50,8
22,Örge,TUR,1,0,80,0.17,1.23,81
22,Plak,NED,1,0,8,0.33,11.11,9
22,Diken,TUR,1,0,10,0.17,9.09,11
22,Carol,BRA,1,0,13,0.17,7.14,14
22,Thaisa,BRA,1,2,13,0.17,6.25,16
22,Kundu,KEN,1,1,17,0.33,5.26,19
22,Cook,USA,1,0,2,0.17,33.33,3
22,Wong-Orantes,USA,1,0,59,0.17,1.67,60
22,Giardino,FRA,1,0,38,0.33,2.56,39
22,Stevanović,SRB,1,0,0,0.33,100.00,1
23,Egonu,ITA,0,0,4,0.00,0.00,4
23,Antropova,ITA,0,0,3,0.00,0.00,3
23,Sylla,ITA,0,0,12,0.00,0.00,12
23,Bosetti,ITA,0,0,14,0.00,0.00,14
23,Danesi,ITA,0,0,17,0.00,0.00,17
23,Fahr,ITA,0,1,5,0.00,0.00,6
23,Martinez,DOM,0,0,3,0.00,0.00,3
23,Gaila,DOM,0,0,4,0.00,0.00,4
23,Jineiry,DOM,0,0,3,0.00,0.00,3
23,Guillen,DOM,0,0,1,0.00,0.00,1
23,Peña Isabel,DOM,0,0,14,0.00,0.00,14
23,Tapia,DOM,0,0,5,0.00,0.00,5
23,De La Cruz,DOM,0,0,2,0.00,0.00,2
23,Lubian,ITA,0,0,0,,,0
23,Omoruyi,ITA,0,0,0,,,0
23,Gonzalez,DOM,0,0,0,,,0
23,Jurczyk,POL,0,0,3,0.00,0.00,3
23,Korneluk,POL,0,0,8,0.00,0.00,8
23,Łukasik,POL,0,0,5,0.00,0.00,5
23,Mędrzyk,POL,0,0,5,0.00,0.00,5
23,Stysiak,POL,0,0,3,0.00,0.00,3
23,Araki,JPN,0,0,0,,,0
23,Airi,JPN,0,0,1,0.00,0.00,1
23,Kojima,JPN,0,0,14,0.00,0.00,14
23,Fukudome,JPN,0,0,8,0.00,0.00,8
23,Yamada,JPN,0,0,3,0.00,0.00,3
23,Hayashi,JPN,0,0,7,0.00,0.00,7
23,Koga,JPN,0,0,6,0.00,0.00,6
23,Smarzek,POL,0,0,0,,,0
23,Wada,JPN,0,0,3,0.00,0.00,3
23,Czyrniańska,POL,0,0,5,0.00,0.00,5
23,Inoue,JPN,0,0,1,0.00,0.00,1
23,Stenzel,POL,0,0,1,0.00,0.00,1
23,Alagierska,POL,0,0,1,0.00,0.00,1
23,Erdem,TUR,0,2,14,0.00,0.00,16
23,Kalaç,TUR,0,0,2,0.00,0.00,2
23,Vargas,TUR,0,0,15,0.00,0.00,15
23,Karakurt,TUR,0,0,6,0.00,0.00,6
23,Baladın,TUR,0,0,10,0.00,0.00,10
23,Aydın,TUR,0,0,3,0.00,0.00,3
23,Knollema,NED,0,0,2,0.00,0.00,2
23,Lohuis,NED,0,1,3,0.00,0.00,4
23,Baijens,NED,0,0,4,0.00,0.00,4
23,M. Jasper,NED,0,0,3,0.00,0.00,3
23,Daalderop,NED,0,0,10,0.00,0.00,10
23,Reesink,NED,0,0,19,0.00,0.00,19
23,Dambrink,NED,0,0,2,0.00,0.00,2
23,Cebecioğlu,TUR,0,0,3,0.00,0.00,3
23,Buijs,NED,0,0,0,,,0
23,Timmerman,NED,0,0,2,0.00,0.00,2
23,Arıcı,TUR,0,0,0,,,0
23,Ana Cristina,BRA,0,0,7,0.00,0.00,7
23,Gabi,BRA,0,1,12,0.00,0.00,13
23,Rosamaria,BRA,0,0,11,0.00,0.00,11
23,Tainara,BRA,0,0,0,,,0
23,Trizah,KEN,0,0,9,0.00,0.00,9
23,Pamella,KEN,0,0,9,0.00,0.00,9
23,Kasaya,KEN,0,0,2,0.00,0.00,2
23,Lorine,KEN,0,0,0,,,0
23,Belinda,KEN,0,0,3,0.00,0.00,3
23,Adhiambo,KEN,0,0,6,0.00,0.00,6
23,Bergmann,BRA,0,0,1,0.00,0.00,1
23,Juliana,KEN,0,0,4,0.00,0.00,4
23,Diana,BRA,0,0,0,,,0
23,Simiyu,KEN,0,0,1,0.00,0.00,1
23,Wisah,KEN,0,0,2,0.00,0.00,2
23,Lorenne,BRA,0,0,0,,,0
23,Drews,USA,0,0,9,0.00,0.00,9
23,Larson,USA,0,0,12,0.00,0.00,12
23,Ogbogu,USA,0,0,9,0.00,0.00,9
23,A. Skinner,USA,0,1,20,0.00,0.00,21
23,Thompson,USA,0,0,4,0.00,0.00,4
23,Washington,USA,0,0,6,0.00,0.00,6
23,Li Y.Y.,CHN,0,0,13,0.00,0.00,13
23,Wang M.J.,CHN,0,0,35,0.00,0.00,35
